カテゴリ,シナリオ,説明,プロンプト案,プロンプト案_en
2,21,斜面から緑玉が落下,緑玉に接近し触れる,Approach the green sphere and touch it
2,22,斜面から緑玉が落下・固定の小緑玉は我慢が必要,小緑玉は無視し斜面から落ちてくる大きな緑玉に触れる,Ignore the small green sphere and touch the large green sphere that comes down the ramp
2,23,斜面から黃玉が落下・固定の小緑玉は我慢が必要,小緑玉は無視し斜面から落ちてくる大きな黃玉に触れた後、小緑玉に触れる,"Ignore the small green sphere at first, touch the large yellow sphere that comes down the ramp, and then touch the small green sphere"
2,24,斜面から黃玉が落下・固定の近距離小緑玉は我慢が必要,小緑玉は無視し斜面から落ちてくる大きな黃玉に触れた後、小緑玉に触れる,"Ignore the small green sphere at first, touch the large yellow sphere that comes down the ramp, and then touch the small green sphere"
2,25,レールから黃玉が落下・固定の小緑玉は我慢が必要,小緑玉は無視しレールから落ちてくる大きな黃玉に触れた後、小緑玉に触れる,"Ignore the small green sphere at first, touch the large yellow sphere that drops from the rail, and then touch the small green sphere"
2,26,レールから黃玉が落下・固定の緑玉は我慢が必要,小緑玉は無視しレールから落ちてくる大きな黃玉に触れた後、小緑玉に触れる,"Ignore the small green sphere at first, touch the large yellow sphere that drops from the rail, and then touch the small green sphere"
2,27,段差の上に黃玉・取れないので緑玉に向かう必要,段差の上にある黃玉は無視し緑玉に接近し触れる,"Ignore the yellow sphere on top of the raised platform, approach the green sphere, and touch it"
2,28,レールから黃玉・赤玉が落下,赤玉に触れないよう注意しつつ、黃玉に触れる,"Taking care not to touch the red spheres, touch the yellow spheres"
2,29,レールから緑玉1と黃玉複数が落下,黃玉がなくなるまで黃玉に先に触れ、最後に緑玉に触れる,"Touch the yellow spheres first until none are left, and touch the green sphere last"
2,30,斜面やレールから黃玉が落下・緑玉を超えて先にそちらを取得,黃玉がなくなるまで黃玉に先に触れ、最後に緑玉に触れる,"Touch the yellow spheres first until none are left, and touch the green sphere last"
3,1,中央の壁の裏に緑玉,壁の裏にある緑玉を視界に入れ、接近して触れる,"Bring the green sphere behind the wall into view, approach it, and touch it"
3,2,端の壁の裏に緑玉,壁の裏にある緑玉を視界に入れ、接近して触れる,"Bring the green sphere behind the wall into view, approach it, and touch it"
3,3,中央の小さい壁の裏に緑玉,壁の裏にある緑玉を視界に入れ、接近して触れる,"Bring the green sphere behind the wall into view, approach it, and touch it"
3,4,左奥端の背の低い壁の裏に緑玉,左から壁の裏に回り込んで緑玉に触れる,Go around behind the wall from the left and touch the green sphere
3,5,左奥端の透明な壁の裏に緑玉,左から透明な壁の裏に回り込んで緑玉に触れる,Go around behind the transparent wall from the left and touch the green sphere
3,6,I字段差・左の透明な壁の裏に緑玉,左から壁の裏に回り込んで緑玉に触れる,Go around behind the wall from the left and touch the green sphere
3,7,右奥端の背の低い壁の裏に緑玉,右から壁の裏に回り込んで緑玉に触れる,Go around behind the wall from the right and touch the green sphere
3,8,右奥端の透明な壁の裏に緑玉,右から透明な壁の裏に回り込んで緑玉に触れる,Go around behind the transparent wall from the right and touch the green sphere
3,9,I字段差・右の透明な壁の裏に緑玉,右から壁の裏に回り込んで緑玉に触れる,Go around behind the wall from the right and touch the green sphere
3,10,V字の透明な壁の裏に緑玉,右から透明な壁の裏に大きく回り込んで緑玉に触れる,Take a wide path around the transparent wall from the right and touch the green sphere behind it
3,11,逆V字の透明な壁の裏に緑玉,右から透明な壁の裏に大きく回り込んで緑玉に触れる,Take a wide path around the transparent wall from the right and touch the green sphere behind it
3,12,X字の透明な壁の裏に緑玉,右から透明な壁の裏に大きく回り込んで緑玉に触れる,Take a wide path around the transparent wall from the right and touch the green sphere behind it
3,13,壁トンネルの中に緑玉,トンネルの中にある緑玉に触れる,Touch the green sphere inside the tunnel
3,14,透明トンネルの中に緑玉,トンネルの中にある緑玉に触れる,Touch the green sphere inside the tunnel
3,15,長い透明トンネルの中に緑玉,トンネルの中にある緑玉に触れる,Touch the green sphere inside the tunnel
3,16,斜面を使って段差を登る,斜面を使って段差を登り、緑玉に触れる,Use the ramp to climb onto the raised platform and touch the green sphere
3,17,斜面を使って段差を登る（上り先小さい）,斜面を使って段差を登り、緑玉に触れる,Use the ramp to climb onto the raised platform and touch the green sphere
3,18,斜面を使って段差を登り、その後落ちないような移動が必要,斜面を使って段差を登り、段差から落ちないように移動し、緑玉に触れる,"Use the ramp to climb onto the raised platform, move along it without falling off, and touch the green sphere"
3,19,斜面を使って段差を登り、その後落ちないような移動が必要,斜面を使って段差を登り、段差から落ちないように移動し、緑玉に触れる,"Use the ramp to climb onto the raised platform, move along it without falling off, and touch the green sphere"
3,20,斜面を使ってジャンプして段差を飛び越える必要,斜面を使ってジャンプして段差を飛び越え、緑玉に触れる,Use the ramp to jump over the raised platform and touch the green sphere
3,21,左右にある3つの斜面を登る必要あり,右にある斜面を登り、次に左にある斜面を登り、最後に中央の斜面を登って緑玉に触れる,"Climb the ramp on the right, then the ramp on the left, and finally the ramp in the center, and touch the green sphere"
3,22,押せるブロックの先に緑玉,正面にある押せるブロックを押しのけ、その先にある緑玉に触れる,Push the pushable block in front of you out of the way and touch the green sphere beyond it
3,23,壁の間に押せるブロックがあり、その先に緑玉,壁の間にある押せるブロックを押しのけて通り抜け、その先にある緑玉に触れる,"Push the pushable block between the walls out of the way, pass through, and touch the green sphere beyond it"
3,24,壁の間を覆っているブロックがあり、左右に移動させる必要,壁の間を塞いでいるブロックを左右どちらかに押して道を開け、その先にある緑玉に触れる,"Push the block that seals the gap between the walls to the left or right to open a path, and touch the green sphere beyond it"
3,25,押せるブロックで脱出する必要あり,囲いを塞いでいる押せるブロックを押して外に出て、緑玉に触れる,"Push the pushable block that seals the enclosure, get out, and touch the green sphere"
3,26,押せるブロックで脱出する必要あり（3段分の重みを動かす勢いが必要？）,囲いを塞いでいる押せるブロックに勢いよくぶつかって押し出し、外に出て緑玉に触れる,"Ram the pushable block that seals the enclosure hard to shove it aside, get out, and touch the green sphere"
3,27,押せるブロックで2重の囲いを脱出する必要あり,二重の囲いを塞いでいる押せるブロックを順に押して外に出て、緑玉に触れる,"Push the pushable blocks that seal the double enclosure one after another, get out, and touch the green sphere"
3,28,渦巻状の通路を脱出する必要あり,渦巻状の通路をたどって外に出て、緑玉に触れる,Follow the spiral corridor out and touch the green sphere
3,29,渦巻状（長め）の通路を脱出する必要あり,長い渦巻状の通路をたどって外に出て、緑玉に触れる,Follow the long spiral corridor out and touch the green sphere
3,30,斜面を登っていって囲いから飛び出る必要あり,囲いの中にある斜面を登って外に飛び出し、緑玉に触れる,"Climb the ramp inside the enclosure to launch yourself out, and touch the green sphere"
4,1,赤い即死ゾーン（菱形）の奥に緑玉,赤い即死ゾーンに触れないよう左右どちらかから回り込み、奥にある緑玉に触れる,"Go around the red death zone from either the left or the right without touching it, and touch the green sphere on the far side"
4,2,赤い即死ゾーン（長方形）の奥に緑玉（左回りが必要）,赤い即死ゾーンに触れないよう左回りに回り込み、奥にある緑玉に触れる,"Go around the red death zone counterclockwise without touching it, and touch the green sphere on the far side"
4,3,赤い即死ゾーン（ジグザグ）の奥に緑玉,ジグザグに並んだ赤い即死ゾーンの隙間を縫って進み、奥にある緑玉に触れる,Weave through the gaps in the zigzag of red death zones and touch the green sphere on the far side
4,4,オレンジゾーンの奥に緑玉,オレンジゾーンを最短距離で横切り、奥にある緑玉に触れる,Cross the orange zone by the shortest path and touch the green sphere on the far side
4,5,オレンジゾーン（帯状）の奥に緑玉,帯状のオレンジゾーンを最短距離で横切り、奥にある緑玉に触れる,Cross the band of orange zone by the shortest path and touch the green sphere on the far side
4,6,赤い即死ゾーンとオレンジゾーンの交互による帯の奥に緑玉,赤い即死ゾーンには触れずオレンジゾーンだけを踏んで帯を横切り、奥にある緑玉に触れる,"Step only on the orange zones and never on the red death zones as you cross the band, and touch the green sphere on the far side"
4,7,左側だけオレンジゾーン・右側は空,オレンジゾーンのない右側を通って奥に進み、緑玉に触れる,"Go forward along the right side, which has no orange zone, and touch the green sphere"
4,8,右側だけオレンジゾーン・左側は空,オレンジゾーンのない左側を通って奥に進み、緑玉に触れる,"Go forward along the left side, which has no orange zone, and touch the green sphere"
4,9,中央にオレンジゾーン・左右は空,中央のオレンジゾーンを避けて左右どちらかの端を通って奥に進み、緑玉に触れる,"Avoid the orange zone in the center, go forward along either edge, and touch the green sphere"
4,10,オレンジゾーン・左に赤い即死ゾーン・通行可能の3通り,左の赤い即死ゾーンと右のオレンジゾーンを避け、中央の何もない道をまっすぐ進んで緑玉に触れる,"Avoid the red death zone on the left and the orange zone on the right, walk straight down the empty lane in the center, and touch the green sphere"
4,11,オレンジゾーン・左に赤い即死ゾーン・通行可能の3通りが2段,1段目は左の赤い即死ゾーンと右のオレンジゾーンを避けて中央を進み、2段目は中央の赤い即死ゾーンと左のオレンジゾーンを避けて右を進み、緑玉に触れる,"On the first band avoid the red death zone on the left and the orange zone on the right and take the center, on the second band avoid the red death zone in the center and the orange zone on the left and take the right, and then touch the green sphere"
4,12,赤い即死ゾーンによるジグザグ,ジグザグに並んだ赤い即死ゾーンの隙間を縫って進み、奥にある緑玉に触れる,Weave through the gaps in the zigzag of red death zones and touch the green sphere on the far side
4,13,縁の赤い即死ゾーンの左裏側に緑玉,縁に沿った赤い即死ゾーンに触れないよう左から回り込み、その裏にある緑玉に触れる,"Go around from the left without touching the red death zone along the edge, and touch the green sphere behind it"
4,14,縁の赤い即死ゾーンの右裏側に緑玉,縁に沿った赤い即死ゾーンに触れないよう右から回り込み、その裏にある緑玉に触れる,"Go around from the right without touching the red death zone along the edge, and touch the green sphere behind it"
4,15,X字の赤い即死ゾーンの裏側に緑玉,X字に並んだ赤い即死ゾーンに触れないよう隙間から回り込み、その裏にある緑玉に触れる,"Go around through the gaps without touching the X-shaped red death zones, and touch the green sphere behind them"
4,16,左右分岐・左はオレンジゾーン+巨大緑玉、右は極小緑玉,右の極小緑玉は無視し、左のオレンジゾーンを横切って巨大緑玉に触れる,"Ignore the tiny green sphere on the right, cross the orange zone on the left, and touch the huge green sphere"
4,17,上のミラー,左の極小緑玉は無視し、右のオレンジゾーンを横切って巨大緑玉に触れる,"Ignore the tiny green sphere on the left, cross the orange zone on the right, and touch the huge green sphere"
4,18,手前に小さい緑玉・オレンジゾーンの奥に巨大緑玉,手前の小さい緑玉は無視し、オレンジゾーンを横切って奥の巨大緑玉に触れる,"Ignore the small green sphere in front of you, cross the orange zone, and touch the huge green sphere beyond it"
4,19,赤い即死ゾーンで覆われた3レーンのうち一つだけが奥に繋がっている,赤い即死ゾーンで仕切られた3本のレーンのうち奥まで繋がっているのは一番右のレーンなので、それを進んで緑玉に触れる,"Of the three lanes separated by red death zones only the rightmost one leads all the way through, so take it and touch the green sphere"
4,20,赤い即死ゾーンで狭い道が構成,赤い即死ゾーンに触れないよう狭い道をたどって進み、緑玉に触れる,Follow the narrow path without touching the red death zones and touch the green sphere
4,21,赤い即死ゾーンで狭い道が構成,赤い即死ゾーンに触れないよう狭い道をたどって進み、緑玉に触れる,Follow the narrow path without touching the red death zones and touch the green sphere
4,22,即死ゾーンで覆われており、床高さが足りなかったので修正,赤い即死ゾーンの上に架かった細い足場に乗り、そこから落ちないよう進んで奥の緑玉に触れる,"Get onto the narrow walkway that spans the red death zone, move along it without falling off, and touch the green sphere on the far side"
4,23,段差の上にレーンによる細い道があり、即死ゾーンの上を通り抜ける必要,段差の上に登り、赤い即死ゾーンの上を通る細い道をたどって緑玉に触れる,"Climb onto the raised platform, follow the narrow path that runs above the red death zone, and touch the green sphere"
4,24,段差によって道があり、即死ゾーンの上を通り抜ける必要,段差の上をたどって赤い即死ゾーンの上を通り抜け、緑玉に触れる,Follow the raised platforms across the red death zone and touch the green sphere
4,25,斜面を使って即死ゾーンを飛び越える必要,斜面を使ってジャンプし、赤い即死ゾーンを飛び越えて緑玉に触れる,Use the ramp to jump over the red death zone and touch the green sphere
4,26,横の斜面を斜めに走り抜けて即死ゾーンを超える必要,横向きの斜面を斜めに走り抜けて赤い即死ゾーンを越え、緑玉に触れる,Run diagonally across the sideways ramp to get past the red death zone and touch the green sphere
4,27,斜面を使って即死ゾーンを2回飛び越える必要,斜面を使ってジャンプし、赤い即死ゾーンを2回飛び越えて緑玉に触れる,Use the ramps to jump over the red death zone twice and touch the green sphere
4,28,即死ゾーンのみなので待機,触れられる玉がないので、赤い即死ゾーンに入らないようその場から動かない,"There is nothing to touch, so stay where you are and do not enter the red death zone"
4,29,即死ゾーン15個+黃玉6個,赤い即死ゾーンに触れないようその間を進み、黃玉に次々と触れる,Move between the red death zones without touching them and touch the yellow spheres one after another
4,30,即死ゾーンから緑玉が移動してくる,赤い即死ゾーンには入らず、そこから転がり出てくる緑玉を待って触れる,"Do not enter the red death zone, and wait for the green sphere to roll out of it and touch it"
5,1,T字路の左にのみ緑玉,突き当たりを左に曲がり、その先にある緑玉に触れる,Turn left at the dead end and touch the green sphere beyond it
5,2,T字路の右にのみ緑玉,突き当たりを右に曲がり、その先にある緑玉に触れる,Turn right at the dead end and touch the green sphere beyond it
5,3,T字路の両端に黃玉,突き当たりの左右どちらにも黃玉があるので、片方に触れてからもう片方にも触れる,"There is a yellow sphere at each end of the dead end, so touch one and then the other"
5,4,対角の壁の裏に回り込む必要あり,対角にある壁の裏に回り込み、そこにある緑玉に触れる,Go around behind the wall in the opposite corner and touch the green sphere there
5,5,壁で縁に作られている細い道の先に緑玉,壁で作られた縁の細い道をたどって進み、その先にある緑玉に触れる,Follow the narrow path made of walls along the edge and touch the green sphere at its end
5,6,壁で縁に作られている細い道の先に緑玉,壁で作られた縁の細い道をたどって進み、その先にある緑玉に触れる,Follow the narrow path made of walls along the edge and touch the green sphere at its end
5,7,I字段差・右は空なので左のトンネル内に緑玉があると判断する必要あり,右に降りても何もないので左に降り、トンネルの中にある緑玉に触れる,"Nothing is on the right, so drop down to the left and touch the green sphere inside the tunnel"
5,8,上のミラー,左に降りても何もないので右に降り、トンネルの中にある緑玉に触れる,"Nothing is on the left, so drop down to the right and touch the green sphere inside the tunnel"
5,9,I字段差・右は空なので左の壁の裏に緑玉があると判断する必要あり,右に降りても何もないので左に降り、壁の裏にある緑玉に触れる,"Nothing is on the right, so drop down to the left and touch the green sphere behind the wall"
5,10,上のミラー,左に降りても何もないので右に降り、壁の裏にある緑玉に触れる,"Nothing is on the left, so drop down to the right and touch the green sphere behind the wall"
5,11,I字段差・右の透明トンネルは空なので左のトンネル内に緑玉があると判断する必要あり,右の透明トンネルは空なので左に降り、トンネルの中にある緑玉に触れる,"The transparent tunnel on the right is empty, so drop down to the left and touch the green sphere inside the tunnel"
5,12,上のミラー,左の透明トンネルは空なので右に降り、トンネルの中にある緑玉に触れる,"The transparent tunnel on the left is empty, so drop down to the right and touch the green sphere inside the tunnel"
5,13,柱に勢い良く当たって倒す必要あり・緑玉1,柱に勢いよくぶつかって倒し、落ちてきた緑玉に触れる,Ram the pillar hard to knock it over and touch the green sphere that falls off it
5,14,柱に勢い良く当たって倒す必要あり・緑玉1,柱に勢いよくぶつかって倒し、落ちてきた緑玉に触れる,Ram the pillar hard to knock it over and touch the green sphere that falls off it
5,15,移動可能なブロックで緑玉を落とす必要,移動できるブロックを押して緑玉を下に落とし、落ちた緑玉に触れる,"Push the movable block to knock the green sphere down, and touch it where it lands"
5,16,透明なシーソーの左に緑玉が落ちてきて右に流れるため三択から右を選択,透明なシーソーの左に落ちた緑玉は右に流れるので、三択のうち右を選んで進み、緑玉に触れる,"The green sphere lands on the left of the transparent seesaw and flows to the right, so pick the right of the three choices, go there, and touch the green sphere"
5,17,上のミラー,透明なシーソーの右に落ちた緑玉は左に流れるので、三択のうち左を選んで進み、緑玉に触れる,"The green sphere lands on the right of the transparent seesaw and flows to the left, so pick the left of the three choices, go there, and touch the green sphere"
5,18,シーソーの左に緑玉が落ちてきて右に流れるため三択から右を選択,シーソーの左に落ちた緑玉は右に流れるので、三択のうち右を選んで進み、緑玉に触れる,"The green sphere lands on the left of the seesaw and flows to the right, so pick the right of the three choices, go there, and touch the green sphere"
5,19,上のミラー,シーソーの右に落ちた緑玉は左に流れるので、三択のうち左を選んで進み、緑玉に触れる,"The green sphere lands on the right of the seesaw and flows to the left, so pick the left of the three choices, go there, and touch the green sphere"
5,20,シーソーの左に緑玉が落ちてきて中央に流れるため三択から中央を選択,シーソーの左に落ちた緑玉は中央に流れるので、三択のうち中央を選んで進み、緑玉に触れる,"The green sphere lands on the left of the seesaw and flows to the center, so pick the center of the three choices, go there, and touch the green sphere"
5,21,上のミラー,シーソーの右に落ちた緑玉は中央に流れるので、三択のうち中央を選んで進み、緑玉に触れる,"The green sphere lands on the right of the seesaw and flows to the center, so pick the center of the three choices, go there, and touch the green sphere"
5,22,8本道: 黃玉2個,8本に分かれた道を順に見て回り、道の先にある黃玉に次々と触れる,Go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,23,8本道: 黃玉2個・斜面,8本に分かれた道を斜面を登って順に見て回り、道の先にある黃玉に次々と触れる,Climb the ramps to go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,24,8本道: 黃玉4個,8本に分かれた道を順に見て回り、道の先にある黃玉に次々と触れる,Go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,25,8本道: 黃玉4個・斜面,8本に分かれた道を斜面を登って順に見て回り、道の先にある黃玉に次々と触れる,Climb the ramps to go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,26,8本道: 黃玉6個,8本に分かれた道を順に見て回り、道の先にある黃玉に次々と触れる,Go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,27,8本道: 黃玉6個・斜面,8本に分かれた道を斜面を登って順に見て回り、道の先にある黃玉に次々と触れる,Climb the ramps to go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,28,8本道: 黃玉8個,8本に分かれた道を順に見て回り、道の先にある黃玉に次々と触れる,Go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,29,8本道: 黃玉8個・斜面,8本に分かれた道を斜面を登って順に見て回り、道の先にある黃玉に次々と触れる,Climb the ramps to go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another
5,30,8本道: 黃玉8個・斜面・中央にボックスが落ちてくる,中央に落ちてくるボックスを避けながら、8本に分かれた道を斜面を登って順に見て回り、道の先にある黃玉に次々と触れる,"Avoiding the box that drops in the center, climb the ramps to go down each of the eight branching paths in turn and touch the yellow spheres at their ends one after another"
6,1,壁色ランダム: 緑玉1・小四角形,壁の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,2,壁色ランダム: 緑玉1・大菱形,壁の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,3,壁色ランダム: 緑玉1・大八角形,壁の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,4,床色ランダム: 緑玉1・普通のアリーナ,床の色は毎回変わるが無視し、緑玉に接近し触れる,"The floor color changes every time but means nothing, so ignore it and approach the green sphere and touch it"
6,5,壁色ランダム: 緑玉1・普通のアリーナ,壁の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,6,壁床色ランダム・緑玉1・普通のアリーナ,壁と床の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall and floor colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,7,壁床天井色ランダム・緑玉1・普通アリーナ,壁と床と天井の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall, floor, and ceiling colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,8,壁床天井色ランダム・緑玉1・普通アリーナ・天井低い,壁と床と天井の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall, floor, and ceiling colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,9,壁床天井色ランダム・緑玉1・普通アリーナ・天井低い,壁と床と天井の色は毎回変わるが無視し、緑玉に接近し触れる,"The wall, floor, and ceiling colors change every time but mean nothing, so ignore them and approach the green sphere and touch it"
6,10,後ろが透けている細い柵の裏に緑の玉があるので、左右どちらかから回り込んでそれに触れる,柵の裏に見えている緑玉に左右どちらかから回り込んで触れる,Go around from either the left or the right and touch the green sphere visible behind the fence
6,11,隙間のある壁でV字が形成されているので、左右どちらかから回り込んで緑の玉に触れる,隙間のある壁で作られたV字の裏にある緑玉に、左右どちらかから回り込んで触れる,Go around from either the left or the right and touch the green sphere behind the V-shaped wall that has gaps in it
